1,12,10000,50,4.907782
2,12,10000,50,4.332303
3,12,10000,50,5.355434
4,12,10000,50,4.861793
5,12,10000,50,5.779336
6,12,10000,50,5.689915
1,12,10000,50,4.441935
2,12,10000,50,5.336741
3,12,10000,50,4.629335
4,12,10000,50,5.912186
5,12,10000,50,4.845678
6,12,10000,50,5.679341
1,12,10000,50,5.224225
2,12,10000,50,4.849963
3,12,10000,50,4.613051
4,12,10000,50,5.805085
5,12,10000,50,4.703894
6,12,10000,50,5.724632
1,12,10000,50,4.333627
2,12,10000,50,5.340638
3,12,10000,50,4.673877
4,12,10000,50,4.689079
5,12,10000,50,5.810303
6,12,10000,50,5.724368


1,12,10000,50,4.245764
2,12,20000,50,5.081895
3,12,30000,50,4.803672
4,12,40000,50,4.799524
5,12,50000,50,4.954860
6,12,60000,50,5.041081
1,12,10000,50,4.011326
2,12,20000,50,4.900709
3,12,30000,50,4.739067
4,12,40000,50,4.765280
5,12,50000,50,5.013230
6,12,60000,50,4.871267
1,12,10000,50,4.010230
2,12,20000,50,4.513286
3,12,30000,50,4.657065
4,12,40000,50,4.836610
5,12,50000,50,4.907311
6,12,60000,50,4.992250
1,12,10000,50,4.010923
2,12,20000,50,4.609460
3,12,30000,50,4.777009
4,12,40000,50,4.919373
5,12,50000,50,5.059516
6,12,60000,50,4.866433
