#,,,
#node:,EPYC,,
#scalability:,openMP,,
#performance_measure:,time(s),,
#threads_affinity_policy:,close,,
#playground_x_size:,,,
#playground_y_size:,,,
#generations:,50,,
#sockets:,2,,
#,,,
#,,,
threads_per_socket,ordered,static,static_in_place
6,1,25000,50,51.244870
6,2,25000,50,25.423710
6,3,25000,50,16.825145
6,4,25000,50,12.746019
6,5,25000,50,10.198755
6,6,25000,50,8.588535
6,7,25000,50,7.387938
6,8,25000,50,6.490199
6,9,25000,50,5.788040
6,10,25000,50,5.240346
6,11,25000,50,4.807167
6,12,25000,50,4.454147
6,1,25000,50,49.593144
6,2,25000,50,25.658316
6,3,25000,50,16.852814
6,4,25000,50,12.680475
6,5,25000,50,10.178153
6,6,25000,50,8.551368
6,7,25000,50,7.470682
6,8,25000,50,6.489708
6,9,25000,50,5.804166
6,10,25000,50,5.242258
6,11,25000,50,4.809328
6,12,25000,50,4.440210
6,1,25000,50,49.657127
6,2,25000,50,25.342398
6,3,25000,50,16.829224
6,4,25000,50,12.689191
6,5,25000,50,10.193923
6,6,25000,50,8.611571
6,7,25000,50,7.441740
6,8,25000,50,6.553455
6,9,25000,50,5.834668
6,10,25000,50,5.288416
6,11,25000,50,4.830948
6,12,25000,50,4.575344
6,1,25000,50,49.633334
6,2,25000,50,25.642039
6,3,25000,50,16.843637
6,4,25000,50,13.034605
6,5,25000,50,10.414562
6,6,25000,50,8.733560
6,7,25000,50,7.356172
6,8,25000,50,6.502001
6,9,25000,50,5.792269
6,10,25000,50,5.551424
6,11,25000,50,4.816310
6,12,25000,50,4.460430
